customer_id,first_name,last_name,email,signup_date,total_purchases
C001,John,Smith,john.smith@email.com,2023-01-15,5
C002,Emily,Johnson,emily.j@email.com,2023-02-03,3
C003,Michael,Davis,mdavis@email.com,2023-01-27,7
C004,Jessica,Wilson,jess_w@email.com,2023-03-10,2
C005,David,Martinez,dmartinez@email.com,2023-02-14,4
C006,Sarah,Anderson,sarah.a@email.com,2023-01-05,6
C007,Robert,Taylor,rtaylor@email.com,2023-03-01,1
C008,Jennifer,Thomas,jen.thomas@email.com,2023-02-20,3
C009,Christopher,Garcia,cgarcia@email.com,2023-01-30,5
C010,Amanda,Brown,amanda.b@email.com,2023-03-15,2
